######################################################################
                        ALTERNATIVES GENERATED
######################################################################
+------+-------+-------+--------+-------+-------+-------+------------+
|  i   |   k1  |   k2  |   k3   |   e1  |   e2  |   e3  | worse_than |
| 784  |  6.08 | 0.943 | 36.979 | 0.728 | 0.478 | 0.389 |    None    |
| 785  | 5.783 | 0.936 | 23.417 | 0.847 |  0.4  | 0.986 |    None    |
| 786  |  6.93 | 0.915 | 36.446 | 0.388 | 0.167 | 0.412 |    None    |
| 787  | 6.199 | 0.979 | 26.664 |  0.68 | 0.878 | 0.843 |    None    |
| 788  | 6.132 |  0.98 | 23.222 | 0.707 | 0.889 | 0.995 |    None    |
| 789  |  6.45 | 0.949 | 41.597 |  0.58 | 0.544 | 0.185 |    None    |
| 790  | 6.128 | 0.976 |  24.0  | 0.709 | 0.844 |  0.96 |    None    |
| 791  | 5.826 | 0.924 | 39.222 |  0.83 | 0.267 |  0.29 |    None    |
| 792  |  7.32 | 0.959 | 28.468 | 0.232 | 0.656 | 0.764 |    None    |
| 793  | 5.838 |  0.96 | 35.384 | 0.825 | 0.667 | 0.459 |    None    |
| 794  | 5.744 | 0.927 | 39.154 | 0.862 |  0.3  | 0.293 |    None    |
| 795  | 6.253 | 0.946 | 24.644 | 0.659 | 0.511 | 0.932 |    None    |
| 796  | 7.392 | 0.909 | 24.189 | 0.203 |  0.1  | 0.952 |    None    |
| 797  | 7.743 | 0.985 | 31.629 | 0.063 | 0.944 | 0.624 |    None    |
| 798  |  6.11 | 0.953 | 40.06  | 0.716 | 0.589 | 0.253 |    None    |
| 799  | 7.356 | 0.959 | 33.765 | 0.218 | 0.656 |  0.53 |    None    |
| 800  | 6.113 | 0.981 | 28.218 | 0.715 |  0.9  | 0.775 |    None    |
| 801  | 6.507 | 0.981 | 36.373 | 0.557 |  0.9  | 0.415 |    None    |
| 802  | 7.401 | 0.977 | 27.73  |  0.2  | 0.856 | 0.796 |    None    |
| 803  | 6.129 | 0.935 | 44.433 | 0.708 | 0.389 |  0.06 |    None    |
| 804  | 5.474 | 0.925 | 35.784 |  0.97 | 0.278 | 0.441 |    None    |
| 805  | 7.272 | 0.932 | 38.725 | 0.251 | 0.356 | 0.312 |    None    |
| 806  | 6.703 | 0.933 | 28.11  | 0.479 | 0.367 | 0.779 |    None    |
| 807  | 6.137 | 0.906 | 39.143 | 0.705 | 0.067 | 0.293 |    None    |
| 808  | 6.619 | 0.987 | 37.326 | 0.512 | 0.967 | 0.373 |    None    |
| 809  | 7.408 | 0.923 | 34.755 | 0.197 | 0.256 | 0.487 |    None    |
| 810  | 7.515 |  0.98 | 27.981 | 0.154 | 0.889 | 0.785 |    None    |
| 811  |  7.23 | 0.988 | 35.083 | 0.268 | 0.978 | 0.472 |    None    |
| 812  | 7.455 | 0.936 | 26.091 | 0.178 |  0.4  | 0.868 |    None    |
| 813  | 6.411 | 0.939 | 24.839 | 0.596 | 0.433 | 0.923 |    None    |
| 814  | 5.427 | 0.906 | 29.113 | 0.989 | 0.067 | 0.735 |    None    |
| 815  |  5.57 | 0.912 | 36.306 | 0.932 | 0.133 | 0.418 |    None    |
| 816  | 5.858 | 0.909 | 23.475 | 0.817 |  0.1  | 0.983 |    None    |
| 817  | 7.697 | 0.919 | 28.542 | 0.081 | 0.211 |  0.76 |    None    |
| 818  | 7.283 | 0.929 | 35.847 | 0.247 | 0.322 | 0.438 |    None    |
| 819  | 7.431 | 0.957 | 32.141 | 0.188 | 0.633 | 0.602 |    None    |
| 820  | 5.828 | 0.946 | 45.033 | 0.829 | 0.511 | 0.034 |    None    |
| 821  |  6.37 | 0.908 | 33.196 | 0.612 | 0.089 | 0.555 |    None    |
| 822  | 5.644 | 0.987 | 23.397 | 0.902 | 0.967 | 0.987 |    None    |
| 823  | 5.668 | 0.959 | 26.749 | 0.893 | 0.656 | 0.839 |    None    |
| 824  | 7.696 | 0.962 | 42.644 | 0.082 | 0.689 | 0.139 |    None    |
| 825  | 6.953 | 0.983 | 34.599 | 0.379 | 0.922 | 0.493 |    None    |
| 826  | 6.804 | 0.953 | 33.074 | 0.438 | 0.589 | 0.561 |    None    |
| 827  | 6.846 | 0.912 | 41.95  | 0.422 | 0.133 |  0.17 |    None    |
| 828  |  6.73 | 0.949 | 45.584 | 0.468 | 0.544 |  0.01 |    None    |
| 829  | 5.869 | 0.988 | 37.366 | 0.812 | 0.978 | 0.372 |    None    |
| 830  | 7.185 | 0.906 | 45.519 | 0.286 | 0.067 | 0.012 |    None    |
| 831  | 6.792 | 0.924 | 39.391 | 0.443 | 0.267 | 0.282 |    None    |
| 832  | 5.637 | 0.926 | 27.671 | 0.905 | 0.289 | 0.799 |    None    |
| 833  | 6.121 | 0.927 | 37.81  | 0.712 |  0.3  | 0.352 |    None    |
| 834  | 7.079 | 0.926 | 38.599 | 0.328 | 0.289 | 0.317 |    None    |
| 835  | 7.777 | 0.926 | 36.074 | 0.049 | 0.289 | 0.428 |    None    |
| 836  | 5.651 | 0.951 | 30.263 |  0.9  | 0.567 | 0.684 |    None    |
| 837  | 5.545 | 0.985 | 30.729 | 0.942 | 0.944 | 0.664 |    None    |
| 838  | 5.507 | 0.905 | 28.136 | 0.957 | 0.056 | 0.778 |    None    |
| 839  | 7.217 |  0.96 | 42.884 | 0.273 | 0.667 | 0.128 |    None    |
| 840  | 7.453 | 0.981 | 29.571 | 0.179 |  0.9  | 0.715 |    None    |
| 841  | 6.051 | 0.981 | 31.018 |  0.74 |  0.9  | 0.651 |    None    |
| 842  |  6.04 |  0.95 | 28.613 | 0.744 | 0.556 | 0.757 |    None    |
| 843  | 6.826 | 0.979 | 45.154 |  0.43 | 0.878 | 0.028 |    None    |
| 844  | 7.745 | 0.984 | 37.598 | 0.062 | 0.933 | 0.361 |    None    |
| 845  | 6.985 | 0.947 | 35.383 | 0.366 | 0.522 | 0.459 |    None    |
| 846  | 6.926 | 0.963 | 44.99  |  0.39 |  0.7  | 0.036 |    None    |
| 847  | 5.904 | 0.986 | 35.109 | 0.798 | 0.956 | 0.471 |    None    |
| 848  | 6.582 | 0.979 | 32.29  | 0.527 | 0.878 | 0.595 |    None    |
| 849  | 5.916 | 0.956 | 35.032 | 0.794 | 0.622 | 0.474 |    None    |
| 850  | 5.485 | 0.912 | 32.101 | 0.966 | 0.133 | 0.603 |    None    |
| 851  | 7.019 | 0.988 | 29.924 | 0.352 | 0.978 | 0.699 |    None    |
| 852  | 6.947 | 0.925 | 27.913 | 0.381 | 0.278 | 0.788 |    None    |
| 853  | 6.813 | 0.919 | 41.58  | 0.435 | 0.211 | 0.186 |    None    |
| 854  | 6.085 | 0.974 | 28.561 | 0.726 | 0.822 | 0.759 |    None    |
| 855  | 7.448 | 0.979 | 35.657 | 0.181 | 0.878 | 0.447 |    None    |
| 856  | 6.584 | 0.942 | 40.255 | 0.526 | 0.467 | 0.244 |    None    |
| 857  | 5.501 | 0.976 | 30.797 |  0.96 | 0.844 | 0.661 |    None    |
| 858  | 6.097 | 0.931 | 41.129 | 0.721 | 0.344 | 0.206 |    None    |
| 859  | 6.453 | 0.901 | 36.428 | 0.579 | 0.011 | 0.413 |    None    |
| 860  |  6.87 | 0.951 | 32.93  | 0.412 | 0.567 | 0.567 |    None    |
| 861  | 5.489 | 0.938 | 24.698 | 0.964 | 0.422 |  0.93 |    None    |
| 862  | 6.902 |  0.93 | 44.873 | 0.399 | 0.333 | 0.041 |    None    |
| 863  | 5.984 | 0.963 | 27.664 | 0.766 |  0.7  | 0.799 |    None    |
| 864  | 7.309 |  0.95 | 38.362 | 0.236 | 0.556 | 0.328 |    None    |
| 865  | 7.523 | 0.922 | 35.616 | 0.151 | 0.244 | 0.449 |    None    |
| 866  | 7.521 | 0.954 | 27.154 | 0.152 |  0.6  | 0.821 |    None    |
| 867  | 6.336 | 0.927 | 40.698 | 0.626 |  0.3  | 0.225 |    None    |
| 868  | 6.688 | 0.958 | 27.524 | 0.485 | 0.644 | 0.805 |    None    |
| 869  | 7.111 |  0.91 | 32.497 | 0.316 | 0.111 | 0.586 |    None    |
| 870  | 6.968 | 0.926 | 44.642 | 0.373 | 0.289 | 0.051 |    None    |
| 871  | 7.723 |  0.96 | 32.532 | 0.071 | 0.667 | 0.584 |    None    |
| 872  | 7.114 | 0.918 | 39.192 | 0.314 |  0.2  | 0.291 |    None    |
| 873  | 7.835 | 0.906 | 37.515 | 0.026 | 0.067 | 0.365 |    None    |
| 874  | 7.685 | 0.989 | 27.879 | 0.086 | 0.989 | 0.789 |    None    |
| 875  | 5.581 | 0.908 | 27.211 | 0.928 | 0.089 | 0.819 |    None    |
| 876  | 5.636 | 0.974 | 39.624 | 0.906 | 0.822 | 0.272 |    None    |
| 877  | 5.839 | 0.916 | 28.172 | 0.824 | 0.178 | 0.777 |    None    |
| 878  | 6.218 | 0.936 | 28.098 | 0.673 |  0.4  |  0.78 |    None    |
| 879  | 7.292 | 0.969 | 32.734 | 0.243 | 0.767 | 0.576 |    None    |
| 880  | 7.479 | 0.968 | 27.237 | 0.168 | 0.756 | 0.818 |    None    |
| 881  | 6.818 | 0.978 | 40.334 | 0.433 | 0.867 | 0.241 |    None    |
| 882  | 7.463 | 0.913 | 38.661 | 0.175 | 0.144 | 0.314 |    None    |
| 883  | 7.286 | 0.976 | 39.116 | 0.246 | 0.844 | 0.294 |    None    |
| 884  | 7.001 | 0.941 | 35.142 |  0.36 | 0.456 |  0.47 |    None    |
| 885  | 7.546 | 0.967 | 41.902 | 0.142 | 0.744 | 0.172 |    None    |
| 886  | 6.159 | 0.967 | 37.267 | 0.696 | 0.744 | 0.376 |    None    |
| 887  | 7.838 | 0.905 | 40.35  | 0.025 | 0.056 |  0.24 |    None    |
| 888  | 6.689 | 0.944 | 24.426 | 0.484 | 0.489 | 0.942 |    None    |
| 889  |  7.11 | 0.918 | 34.528 | 0.316 |  0.2  | 0.497 |    None    |
| 890  | 6.764 |  0.93 | 42.135 | 0.454 | 0.333 | 0.161 |    None    |
| 891  | 6.585 | 0.965 | 24.158 | 0.526 | 0.722 | 0.953 |    None    |
| 892  | 7.506 | 0.973 | 33.999 | 0.158 | 0.811 |  0.52 |    None    |
| 893  | 7.386 | 0.974 | 36.506 | 0.206 | 0.822 | 0.409 |    None    |
| 894  | 6.205 | 0.913 | 32.649 | 0.678 | 0.144 | 0.579 |    None    |
| 895  | 7.812 | 0.953 | 37.723 | 0.035 | 0.589 | 0.356 |    None    |
| 896  | 7.822 | 0.923 | 43.225 | 0.031 | 0.256 | 0.113 |    None    |
| 897  | 6.307 | 0.974 | 31.609 | 0.637 | 0.822 | 0.625 |    None    |
| 898  | 5.511 | 0.902 | 42.626 | 0.956 | 0.022 |  0.14 |    None    |
| 899  | 7.832 | 0.985 | 34.205 | 0.027 | 0.944 | 0.511 |    None    |
| 900  | 5.855 | 0.952 | 33.431 | 0.818 | 0.578 | 0.545 |    None    |
| 901  | 7.824 | 0.967 | 38.925 |  0.03 | 0.744 | 0.303 |    None    |
| 902  | 7.446 | 0.989 | 25.555 | 0.182 | 0.989 | 0.892 |    None    |
| 903  | 5.954 | 0.931 | 38.737 | 0.778 | 0.344 | 0.311 |    None    |
| 904  | 5.822 |  0.94 | 38.317 | 0.831 | 0.444 |  0.33 |    None    |
| 905  | 7.132 | 0.931 | 36.71  | 0.307 | 0.344 |  0.4  |    None    |
| 906  | 5.877 | 0.932 | 31.889 | 0.809 | 0.356 | 0.613 |    None    |
| 907  | 6.029 |  0.9  | 26.071 | 0.748 |  0.0  | 0.869 |    None    |
| 908  | 6.249 | 0.967 | 32.633 |  0.66 | 0.744 |  0.58 |    None    |
| 909  | 5.825 |  0.94 | 43.601 |  0.83 | 0.444 | 0.097 |    None    |
| 910  | 7.694 | 0.978 | 33.431 | 0.082 | 0.867 | 0.545 |    None    |
| 911  | 6.678 | 0.928 | 30.716 | 0.489 | 0.311 | 0.664 |    None    |
| 912  | 6.487 | 0.986 | 24.667 | 0.565 | 0.956 | 0.931 |    None    |
| 913  | 7.268 |  0.92 | 29.732 | 0.253 | 0.222 | 0.708 |    None    |
| 914  | 7.118 | 0.901 | 38.057 | 0.313 | 0.011 | 0.341 |    None    |
| 915  | 6.394 | 0.957 | 24.827 | 0.602 | 0.633 | 0.924 |    None    |
| 916  | 7.593 | 0.961 | 42.629 | 0.123 | 0.678 |  0.14 |    None    |
| 917  | 6.661 | 0.907 | 33.462 | 0.496 | 0.078 | 0.544 |    None    |
| 918  | 6.658 | 0.915 | 31.271 | 0.497 | 0.167 |  0.64 |    None    |
| 919  | 6.512 | 0.971 | 42.789 | 0.555 | 0.789 | 0.133 |    None    |
| 920  | 7.106 | 0.913 | 43.481 | 0.318 | 0.144 | 0.102 |    None    |
| 921  | 7.861 |  0.94 | 32.132 | 0.016 | 0.444 | 0.602 |    None    |
| 922  | 7.804 | 0.977 | 30.331 | 0.038 | 0.856 | 0.681 |    None    |
| 923  | 5.834 | 0.937 | 38.157 | 0.826 | 0.411 | 0.337 |    None    |
| 924  | 7.897 | 0.919 | 34.221 | 0.001 | 0.211 |  0.51 |    None    |
| 925  |  7.53 | 0.937 | 36.395 | 0.148 | 0.411 | 0.414 |    None    |
| 926  | 6.324 | 0.941 |  41.1  |  0.63 | 0.456 | 0.207 |    None    |
| 927  |  7.78 | 0.928 | 29.948 | 0.048 | 0.311 | 0.698 |    None    |
| 928  | 6.101 | 0.957 | 39.831 |  0.72 | 0.633 | 0.263 |    None    |
| 929  | 5.987 | 0.987 | 29.797 | 0.765 | 0.967 | 0.705 |    None    |
| 930  |  7.86 | 0.928 | 27.261 | 0.016 | 0.311 | 0.817 |    None    |
| 931  | 5.979 |  0.97 | 41.059 | 0.768 | 0.778 | 0.209 |    None    |
| 932  | 6.493 | 0.906 | 36.488 | 0.563 | 0.067 |  0.41 |    None    |
| 933  | 7.611 | 0.974 | 32.823 | 0.116 | 0.822 | 0.572 |    None    |
| 934  | 5.754 | 0.926 | 30.503 | 0.858 | 0.289 | 0.674 |    None    |
| 935  | 6.818 | 0.964 | 38.753 | 0.433 | 0.711 |  0.31 |    None    |
| 936  | 6.737 | 0.915 |  37.5  | 0.465 | 0.167 | 0.366 |    None    |
| 937  | 7.591 | 0.981 | 44.506 | 0.124 |  0.9  | 0.057 |    None    |
| 938  | 6.664 | 0.917 | 41.133 | 0.494 | 0.189 | 0.206 |    None    |
| 939  | 5.438 | 0.916 | 31.652 | 0.985 | 0.178 | 0.623 |    None    |
| 940  |  6.37 |  0.96 | 32.983 | 0.612 | 0.667 | 0.565 |    None    |
| 941  | 6.574 | 0.914 | 23.381 |  0.53 | 0.156 | 0.988 |    None    |
| 942  | 6.565 | 0.905 | 29.586 | 0.534 | 0.056 | 0.714 |    None    |
| 943  |  6.35 | 0.988 | 29.704 |  0.62 | 0.978 | 0.709 |    None    |
| 944  | 5.601 | 0.966 | 23.227 |  0.92 | 0.733 | 0.994 |    None    |
| 945  | 5.704 | 0.907 | 37.688 | 0.878 | 0.078 | 0.357 |    None    |
| 946  | 6.202 | 0.964 | 27.948 | 0.679 | 0.711 | 0.786 |    None    |
| 947  | 7.757 | 0.933 | 25.344 | 0.057 | 0.367 | 0.901 |    None    |
| 948  |  5.4  | 0.982 |  30.7  |  1.0  | 0.911 | 0.665 |    None    |
| 949  | 7.445 |  0.9  | 28.229 | 0.182 |  0.0  | 0.774 |    None    |
| 950  | 6.916 | 0.975 | 38.124 | 0.394 | 0.833 | 0.338 |    None    |
| 951  | 7.275 | 0.947 | 44.193 |  0.25 | 0.522 | 0.071 |    None    |
| 952  | 7.609 | 0.937 | 35.317 | 0.116 | 0.411 | 0.462 |    None    |
| 953  | 7.643 | 0.932 | 40.787 | 0.103 | 0.356 | 0.221 |    None    |
| 954  | 7.828 | 0.985 | 23.353 | 0.029 | 0.944 | 0.989 |    None    |
| 955  | 6.735 | 0.941 | 25.716 | 0.466 | 0.456 | 0.885 |    None    |
| 956  | 6.168 | 0.963 | 36.512 | 0.693 |  0.7  | 0.409 |    None    |
| 957  | 6.098 | 0.983 | 40.811 | 0.721 | 0.922 |  0.22 |    None    |
| 958  | 6.489 | 0.934 | 39.058 | 0.564 | 0.378 | 0.297 |    None    |
| 959  | 5.515 | 0.976 | 32.791 | 0.954 | 0.844 | 0.573 |    None    |
| 960  | 6.986 |  0.98 | 24.016 | 0.366 | 0.889 |  0.96 |    None    |
| 961  | 6.049 | 0.981 | 41.265 |  0.74 |  0.9  |  0.2  |    None    |
| 962  | 6.721 | 0.901 | 40.975 | 0.472 | 0.011 | 0.213 |    None    |
| 963  | 5.913 | 0.941 | 34.994 | 0.795 | 0.456 | 0.476 |    None    |
| 964  | 6.121 | 0.923 | 44.273 | 0.712 | 0.256 | 0.067 |    None    |
| 965  |  6.25 | 0.947 | 29.35  |  0.66 | 0.522 | 0.725 |    None    |
| 966  | 5.615 | 0.903 | 28.326 | 0.914 | 0.033 |  0.77 |    None    |
| 967  | 6.516 | 0.922 | 27.855 | 0.554 | 0.244 | 0.791 |    None    |
| 968  |  5.55 | 0.914 | 37.093 |  0.94 | 0.156 | 0.384 |    None    |
| 969  |  6.4  | 0.926 | 35.773 |  0.6  | 0.289 | 0.442 |    None    |
| 970  | 6.116 | 0.909 | 38.929 | 0.714 |  0.1  | 0.303 |    None    |
| 971  |  5.47 | 0.936 |  43.8  | 0.972 |  0.4  | 0.088 |    None    |
| 972  | 7.798 | 0.985 | 31.273 | 0.041 | 0.944 |  0.64 |    None    |
| 973  | 7.242 | 0.956 | 26.376 | 0.263 | 0.622 | 0.856 |    None    |
| 974  |  7.58 | 0.952 | 42.374 | 0.128 | 0.578 | 0.151 |    None    |
| 975  | 7.242 | 0.942 | 43.316 | 0.263 | 0.467 | 0.109 |    None    |
| 976  | 6.083 | 0.977 | 35.098 | 0.727 | 0.856 | 0.471 |    None    |
| 977  | 5.769 | 0.956 | 24.308 | 0.852 | 0.622 | 0.947 |    None    |
| 978  | 5.447 | 0.915 | 23.701 | 0.981 | 0.167 | 0.974 |    None    |
| 979  |  6.66 | 0.978 | 35.086 | 0.496 | 0.867 | 0.472 |    None    |
| 980  | 6.861 | 0.904 | 34.161 | 0.416 | 0.044 | 0.513 |    None    |
| 981  |  7.31 | 0.934 | 26.112 | 0.236 | 0.378 | 0.867 |    None    |
| 982  | 6.411 | 0.954 | 43.933 | 0.596 |  0.6  | 0.082 |    None    |
| 983  | 6.336 | 0.906 | 23.578 | 0.626 | 0.067 | 0.979 |    None    |
| 984  | 6.444 | 0.916 | 25.947 | 0.582 | 0.178 | 0.875 |    None    |
| 985  | 6.297 | 0.912 | 27.227 | 0.641 | 0.133 | 0.818 |    None    |
| 986  | 6.509 | 0.901 | 26.292 | 0.556 | 0.011 | 0.859 |    None    |
| 987  |  6.83 | 0.926 | 28.383 | 0.428 | 0.289 | 0.767 |    None    |
| 988  | 7.728 | 0.939 | 38.302 | 0.069 | 0.433 |  0.33 |    None    |
| 989  |  7.76 | 0.922 | 45.364 | 0.056 | 0.244 | 0.019 |    None    |
| 990  | 5.664 | 0.913 | 35.74  | 0.894 | 0.144 | 0.443 |    None    |
| 991  | 5.913 | 0.984 | 45.003 | 0.795 | 0.933 | 0.035 |    None    |
| 992  | 5.531 | 0.968 | 34.225 | 0.948 | 0.756 |  0.51 |    None    |
| 993  | 6.861 |  0.96 | 45.501 | 0.416 | 0.667 | 0.013 |    None    |
| 994  | 6.016 | 0.928 | 34.879 | 0.754 | 0.311 | 0.481 |    None    |
| 995  | 6.577 | 0.937 | 32.276 | 0.529 | 0.411 | 0.596 |    None    |
| 996  | 6.366 | 0.955 | 41.928 | 0.614 | 0.611 | 0.171 |    None    |
| 997  | 7.453 | 0.968 | 41.724 | 0.179 | 0.756 |  0.18 |    None    |
| 998  | 7.774 | 0.972 | 28.225 |  0.05 |  0.8  | 0.774 |    None    |
| 999  |  6.67 | 0.988 | 31.619 | 0.492 | 0.978 | 0.625 |    None    |
| 1000 | 7.403 | 0.969 | 36.232 | 0.199 | 0.767 | 0.421 |    None    |
| 1001 | 6.838 | 0.923 | 33.164 | 0.425 | 0.256 | 0.557 |    None    |
| 1002 | 7.551 | 0.914 | 37.041 |  0.14 | 0.156 | 0.386 |    None    |
| 1003 | 6.493 | 0.963 | 43.541 | 0.563 |  0.7  |  0.1  |    None    |
| 1004 | 5.856 | 0.942 | 29.768 | 0.818 | 0.467 | 0.706 |    None    |
| 1005 | 6.553 | 0.938 | 38.563 | 0.539 | 0.422 | 0.319 |    None    |
| 1006 |  7.16 | 0.924 | 32.384 | 0.296 | 0.267 | 0.591 |    None    |
| 1007 | 7.061 |  0.97 | 42.231 | 0.336 | 0.778 | 0.157 |    None    |
| 1008 | 5.806 | 0.983 | 32.462 | 0.838 | 0.922 | 0.588 |    None    |
| 1009 | 6.319 |  0.91 | 27.303 | 0.632 | 0.111 | 0.815 |    None    |
| 1010 | 5.791 | 0.946 | 25.051 | 0.844 | 0.511 | 0.914 |    None    |
| 1011 | 6.301 | 0.907 | 39.582 |  0.64 | 0.078 | 0.274 |    None    |
| 1012 | 7.264 |  0.92 | 27.383 | 0.254 | 0.222 | 0.811 |    None    |
| 1013 | 6.587 | 0.969 | 26.511 | 0.525 | 0.767 |  0.85 |    None    |
| 1014 | 6.266 | 0.956 | 25.513 | 0.654 | 0.622 | 0.894 |    None    |
| 1015 | 5.971 | 0.985 | 31.894 | 0.772 | 0.944 | 0.613 |    None    |
| 1016 | 7.525 | 0.968 | 44.082 |  0.15 | 0.756 | 0.076 |    None    |
| 1017 | 7.214 | 0.976 | 40.408 | 0.274 | 0.844 | 0.238 |    None    |
| 1018 | 6.905 | 0.985 | 31.434 | 0.398 | 0.944 | 0.633 |    None    |
| 1019 | 5.889 | 0.925 | 37.401 | 0.804 | 0.278 |  0.37 |    None    |
| 1020 | 7.894 | 0.968 | 25.043 | 0.002 | 0.756 | 0.914 |    None    |
| 1021 | 6.434 | 0.932 | 25.815 | 0.586 | 0.356 |  0.88 |    None    |
| 1022 | 6.097 | 0.924 | 30.604 | 0.721 | 0.267 | 0.669 |    None    |
| 1023 | 5.957 | 0.941 | 44.643 | 0.777 | 0.456 | 0.051 |    None    |
| 1024 | 6.259 | 0.978 | 25.057 | 0.656 | 0.867 | 0.914 |    None    |
| 1025 | 5.731 | 0.968 | 45.007 | 0.868 | 0.756 | 0.035 |    None    |
| 1026 | 6.352 | 0.982 | 38.004 | 0.619 | 0.911 | 0.343 |    None    |
| 1027 | 7.423 | 0.919 | 35.856 | 0.191 | 0.211 | 0.438 |    None    |
| 1028 | 7.853 | 0.901 | 38.896 | 0.019 | 0.011 | 0.304 |    None    |
| 1029 | 5.863 | 0.914 | 23.505 | 0.815 | 0.156 | 0.982 |    None    |
| 1030 | 6.406 | 0.946 | 27.949 | 0.598 | 0.511 | 0.786 |    None    |
| 1031 | 6.164 | 0.939 | 35.589 | 0.694 | 0.433 |  0.45 |    None    |
| 1032 | 5.742 | 0.912 | 40.907 | 0.863 | 0.133 | 0.216 |    None    |
| 1033 | 7.746 | 0.926 | 39.001 | 0.062 | 0.289 |  0.3  |    None    |
| 1034 | 5.479 | 0.976 | 34.216 | 0.968 | 0.844 |  0.51 |    None    |
| 1035 | 6.967 | 0.971 | 30.569 | 0.373 | 0.789 | 0.671 |    None    |
| 1036 |  6.2  | 0.949 | 25.453 |  0.68 | 0.544 | 0.896 |    None    |
| 1037 | 5.824 | 0.907 | 28.637 |  0.83 | 0.078 | 0.756 |    None    |
| 1038 | 5.792 |  0.98 | 26.803 | 0.843 | 0.889 | 0.837 |    None    |
| 1039 | 5.627 | 0.927 | 23.994 | 0.909 |  0.3  | 0.961 |    None    |
| 1040 |  6.19 | 0.941 | 38.888 | 0.684 | 0.456 | 0.304 |    None    |
| 1041 | 6.349 | 0.951 | 34.884 |  0.62 | 0.567 | 0.481 |    None    |
| 1042 |  6.77 | 0.967 | 34.629 | 0.452 | 0.744 | 0.492 |    None    |
| 1043 |  5.52 | 0.961 | 30.754 | 0.952 | 0.678 | 0.663 |    None    |
| 1044 | 7.369 | 0.908 | 37.528 | 0.212 | 0.089 | 0.364 |    None    |
| 1045 | 7.322 | 0.922 | 38.06  | 0.231 | 0.244 | 0.341 |    None    |
| 1046 | 6.881 | 0.932 | 44.801 | 0.408 | 0.356 | 0.044 |    None    |
| 1047 | 6.133 |  0.95 | 38.858 | 0.707 | 0.556 | 0.306 |    None    |
| 1048 | 5.555 | 0.937 | 32.242 | 0.938 | 0.411 | 0.597 |    None    |
| 1049 | 6.659 | 0.904 | 30.527 | 0.496 | 0.044 | 0.673 |    None    |
| 1050 | 5.498 | 0.934 | 25.471 | 0.961 | 0.378 | 0.896 |    None    |
| 1051 | 6.144 | 0.949 | 36.448 | 0.702 | 0.544 | 0.412 |    None    |
| 1052 | 7.143 | 0.945 | 23.159 | 0.303 |  0.5  | 0.997 |    None    |
| 1053 | 5.598 | 0.932 | 35.796 | 0.921 | 0.356 | 0.441 |    None    |
| 1054 | 6.674 |  0.9  | 37.994 |  0.49 |  0.0  | 0.344 |    None    |
| 1055 | 7.752 | 0.945 | 35.81  | 0.059 |  0.5  |  0.44 |    None    |
| 1056 | 7.377 | 0.945 | 28.352 | 0.209 |  0.5  | 0.769 |    None    |
| 1057 | 6.794 | 0.988 | 33.107 | 0.442 | 0.978 | 0.559 |    None    |
| 1058 | 6.674 | 0.982 | 30.994 |  0.49 | 0.911 | 0.652 |    None    |
| 1059 | 6.381 | 0.962 | 25.896 | 0.608 | 0.689 | 0.877 |    None    |
| 1060 | 6.436 |  0.99 | 26.848 | 0.586 |  1.0  | 0.835 |    None    |
| 1061 | 6.869 | 0.946 |  37.4  | 0.412 | 0.511 |  0.37 |    None    |
| 1062 | 6.846 | 0.909 | 44.221 | 0.422 |  0.1  |  0.07 |    None    |
| 1063 | 6.805 |  0.96 | 43.887 | 0.438 | 0.667 | 0.084 |    None    |
| 1064 | 7.861 | 0.928 | 26.938 | 0.016 | 0.311 | 0.831 |    None    |
| 1065 | 6.096 | 0.904 | 45.348 | 0.722 | 0.044 |  0.02 |    None    |
| 1066 | 6.534 | 0.973 | 41.545 | 0.546 | 0.811 | 0.187 |    None    |
| 1067 | 6.999 | 0.986 | 37.177 |  0.36 | 0.956 |  0.38 |    None    |
| 1068 | 6.532 | 0.979 | 45.497 | 0.547 | 0.878 | 0.013 |    None    |
| 1069 |  7.06 | 0.919 | 36.623 | 0.336 | 0.211 | 0.404 |    None    |
| 1070 | 6.125 | 0.906 | 37.958 |  0.71 | 0.067 | 0.345 |    None    |
| 1071 | 6.056 | 0.947 | 40.715 | 0.738 | 0.522 | 0.224 |    None    |
| 1072 | 7.227 | 0.961 | 44.398 | 0.269 | 0.678 | 0.062 |    None    |
| 1073 | 7.133 | 0.957 | 42.908 | 0.307 | 0.633 | 0.127 |    None    |
| 1074 | 6.591 |  0.92 | 44.197 | 0.524 | 0.222 | 0.071 |    None    |
| 1075 | 5.486 | 0.973 | 27.233 | 0.966 | 0.811 | 0.818 |    None    |
| 1076 | 5.504 | 0.918 | 37.494 | 0.958 |  0.2  | 0.366 |    None    |
| 1077 | 7.264 | 0.959 | 24.366 | 0.254 | 0.656 | 0.944 |    None    |
| 1078 | 6.784 | 0.958 | 39.084 | 0.446 | 0.644 | 0.296 |    None    |
| 1079 | 5.762 | 0.948 | 33.376 | 0.855 | 0.533 | 0.547 |    None    |
| 1080 | 7.386 | 0.985 | 37.338 | 0.206 | 0.944 | 0.373 |    None    |
| 1081 |  6.74 | 0.901 | 26.219 | 0.464 | 0.011 | 0.863 |    None    |
| 1082 | 7.184 | 0.926 | 41.602 | 0.286 | 0.289 | 0.185 |    None    |
| 1083 | 5.534 | 0.901 | 28.235 | 0.946 | 0.011 | 0.774 |    None    |
